a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
alsa-card-profiles 1:0.3.53-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.7.1-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.1-1
alsa-utils 1.2.7-1
aom 3.4.0-1
apache 2.4.54-1
appstream 0.15.4-1
appstream-qt 0.15.4-1
apr 1.7.0-3
apr-util 1.6.1-9
arc-gtk-theme-eos 20220405-1
archlinux-keyring 20220424-1
argon2 20190702-4
ark 22.04.2-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
atril 1.26.0-1
attica 5.95.0-1
attr 2.5.1-2
audiocd-kio 22.04.2-1
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-3
baloo 5.95.0-1
baloo-widgets 22.04.2-1
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bc 1.07.1-4
bind 9.18.4-1
binutils 2.38-5
bison 3.8.2-4
blueberry 1.4.6-1
bluedevil 1:5.25.2-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.95.0-1
bluez-tools 0.2.0-5
bluez-utils 5.64-2
boost-libs 1.79.0-1
breeze 5.25.2-1
breeze-gtk 5.25.2-1
breeze-icons 5.95.0-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
budgie-control-center 1.0.2-2
budgie-desktop 10.6.1-1
budgie-desktop-view 1.2-1
budgie-extras 1.4.0-1
budgie-screensaver 5.0.2-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
caja 1.26.0-1
caja-extensions-common 1.26.0-2
caja-image-converter 1.26.0-2
caja-open-terminal 1.26.0-2
caja-sendto 1.26.0-2
caja-share 1.26.0-2
caja-wallpaper 1.26.0-2
caja-xattr-tags 1.26.0-2
cantarell-fonts 1:0.303.1-1
